transaction_date,amount,description,account
2024-01-02,3200.0,Salary January,Main
2024-01-03,-950.0,Rent January,Main
2024-01-04,-84.2,Albert Heijn groceries,Main
2024-01-05,-45.0,NS OV chipkaart,Main
2024-01-06,-13.99,Netflix subscription,Main
2024-01-07,-27.5,Basic Fit membership,Main
2024-01-08,-62.4,Thuisbezorgd sushi,Main
2024-01-09,-120.0,DEGIRO ETF purchase,Broker
2024-01-10,50.0,Savings transfer in,Savings
2024-01-11,-50.0,Savings transfer out,Main
2024-01-12,-18.75,Etos drogist,Main
2024-01-13,-70.1,Jumbo supermarkt,Main
2024-01-14,-39.95,Spotify premium,Main
2024-01-15,-210.0,KLM flight ticket,Main
2024-01-16,150.0,Freelance website project,Main
2024-01-17,-15.2,Starbucks coffee,Main
2024-01-18,-32.0,Restaurant pasta night,Main
2024-01-19,-5.99,iCloud storage,Main
2024-01-20,12.45,Dividend ETF,Broker
2024-01-21,-89.0,Zalando kleding,Main
2024-01-22,-46.3,Apotheek medication,Main
2024-01-23,-300.0,Binance crypto buy,Main
2024-01-24,-3.1,Binance trading fee,Main
2024-01-25,-110.0,Hotel Amsterdam,Main
2024-01-26,-90.0,Gas and electricity bill,Main
2024-01-27,-24.5,Uber ride,Main
2024-01-28,-57.8,Lidl groceries,Main
2024-01-29,-14.99,Youtube premium,Main
2024-01-30,3200.0,Salary February advance,Main
2024-02-01,-960.0,Rent February,Main
